Tender Title,Organization,Description,Procurement stage,Notice status,Approach to market date,Closing,Contract location,Min Contract value,Max Contract value,Publication date,Last Edited
GB-Swindon: UKRI-2144 International Researchers in UK R&D Businesses,UK Research & Innovation,"UKRI requires a supplier to  support us in filling a recognised gap in knowledge about the way in which UK businesses and international researchers and innovators in industry interact with the immigration system.
      To collate evidence to fill this gap in knowledge, the Supplier will be required to; 1) analyse data obtained by UKRI from Research...",Opportunity,Open,Not Available,"1 December 2022, 11am",South West,50000,100000,27 October 2022,Not Available
Residential Asset Valuations,Advance Northumberland (Housing) Limited,As part of our yearly accountancy practices Advance Northumberland Housing Limited (Advance) carry out annual asset re-valuations across the full portfolio. Advance Northumberland are therefore looking to appoint MRICS Surveyors to provide comprehensive Asset Valuations of the Residential Portfolio valued in accordance with MRICS Valuation ...,Opportunity,Open,Not Available,"25 November 2022, 12pm",England,25000,Not Available,27 October 2022,Not Available
GB-Leeds: 202223 1642 - Laboratory Service Contract,University of Leeds,"The Faculty of Medicine and Health (LIMR, LIRMM and Oral Biology) at the University of Leeds is seeking tenders for the provision of a maintenance and repair service for centrifuges and incubators and other general laboratory equipment
      
      To respond to this opportunity - use the web link    https://neupc.delta-esourcing.com/respond/ ...",Opportunity,Open,Not Available,"16 November 2022, 10am",Yorkshire and the Humber,100000,500000,27 October 2022,Not Available
Tennis Court Renovation works on behalf of the London Borough of Hillingdon,London Borough of Hillingdon,"The London Borough of Hillingdon (LBH) is seeking to appoint a suitably qualified and experience contractor to undertake renovation works at number of tennis courts sites outlined below;
- Northwood Rec Ground, Northwood- Courts 1-4. No work required at Court No.5.
- Rosedale Park, Hayes- 6 courts
- Harmondsworth Rec Ground, Harmondsworth - 2 ...",Opportunity,Open,Not Available,"18 November 2022,  1pm",UB8 1UW,500000,Not Available,25 January 2022,27 October 2022
Evaluation of Domestic Abuse Complex Needs Service,Coventry City Council,"Valley House - commissioned by Coventry City Council  - provides supported accommodation for victims of domestic abuse, and is seeking to procure a provider to conduct an evaluation of a new service to support victims with complex needs (ie. drug, alcohol or mental health needs).
 
This is an opportunity being advertised on behalf of Valley House...",Early engagement,Open,Not Available,27 November 2022,West Midlands,Not Available,Not Available,27 October 2022,Not Available
GB-Middlesbrough: AV and Staging - Graduation,Teesside University,"Teesside University holds a series of graduation ceremonies each Summer. Graduation is a critical event in the University calendar, and as such we require a professional staging setup and AV provision for all ceremonies on campus in 2023, 2024 and 2025. Full details and specification in section 2.",Opportunity,Open,Not Available,"18 November 2022,  5pm",North East,100000,500000,27 October 2022,Not Available
Commercial Asset Valuations,Advance Northumberland Commercial Limited,As part of our yearly accountancy practices Advance Northumberland Commercial Limited (Advance Northumberland) carry out annual asset re-valuations across the full portfolio. Advance Northumberland are therefore looking to appoint MRICS Surveyors to provide comprehensive Asset Valuations of Commercial Portfolio valued in accordance with MRICS ...,Opportunity,Open,Not Available,"25 November 2022, 12pm",England,10000,30000,27 October 2022,Not Available
LHP384 Roof Replacement Programme Boston,Lincolnshire Housing Partnership Limited,"LHP requires roof replacements to 53 occupied blocks of flats in the Boston area.  The contractor will be expected to strip all current roofing materials and replace with items supplied within the specification.
      
      The blocks of flats are mixed tenure and contain both LHP tenants and leasehold properties.  
      
      The contractor ...",Opportunity,Open,Not Available,"25 November 2022, 12:01pm",DN31 1SQ,1500000,2000000,27 October 2022,27 October 2022
"UOW872 Safe Roof Access Testing & Recertification, Service & Maintenance",University Of Worcester,"The University of Worcester needs to ensure that its roof fall protection systems are fit for purpose and require a contractor to conduct periodic examination and routine testing in accordance with HSE Guidance, the manufacturer's instructions, BS EN353 Parts 1 and 2, BS EN795:2012, BS7883:2005 and all other relevant standards and legislative ...",Opportunity,Open,Not Available,"18 November 2022,  5pm",WR2 6AJ,0,Not Available,27 October 2022,Not Available
King George V Playing Field - Trull. Play equipment,Trull Parish Council,The Playing Field Management Committee on behalf of Trull Parish Council is seeking to source and install several pieces of new play equipment to compliment existing in Trull's King George V playing field. The installation should also include suitable bases and should be fitting for the semi-rural environment.,Opportunity,Open,Not Available,"25 November 2022,  5pm",Ta3 7LF,50000,Not Available,27 October 2022,Not Available
Test Operations Service 2025,Department for Education,"Short Description:

-	The purpose of this notice is to notify the market of STA's  commencement of procurement activity, to identify and appoint a suitably qualified Supplier to deliver the STA's Test Operations Service 2025 requirement.
-	The Standards and Testing Agency (STA) is an executive agency of the Department for Education which ...",Opportunity,Open,Not Available,"28 November 2022, 10am","North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",0,180000000,27 October 2022,Not Available
GB-London: Digital audience research and content strategy project,National Maritime Museum,"NOTE: This notice was updated on 27 October 2022 for the following reason: To respond to this opportunity, please click here: https://www.delta-esourcing.com/respond/XYXM3PQ256
      
      If you experience any technical difficulties from accessing the above url, then please contact the Delta eSourcing Helpdesk on call 0800 923 9236 or email ...",Opportunity,Open,Not Available,"11 November 2022, 11:45pm",London,25000,50000,27 October 2022,27 October 2022
Supply of Gel Permeation Liquid Chromatography System,DEPARTMENT FOR ENVIRONMENT FOOD & RURAL AFFAIRS,"Supply, delivery and installation of an automated system to 'clean up' organic extractions of environmental biota  after prior removal of fats and sulphur. Using  Gel Permeation Liquid Chromotography for sample clean up with, Variable Wavelength Detection and fraction collection of the resultant eluent. 

To apply please respond to the ...",Opportunity,Open,Not Available,"25 November 2022, 12pm",United Kingdom,35000,50000,27 October 2022,Not Available
Provision of Driver Training,Somerset County Council,"Somerset County Council (SCC) is undertaking a procurement exercise to source a supplier to deliver a Driver Training in Somerset. The Supplier will deliver the courses required to ensure SCC remains compliant and legal as well as ensuring staff are appropriately trained for their job roles.  

For further information and access to the tender ...",Opportunity,Open,Not Available,"25 November 2022, 12pm",United Kingdom,165000,330000,27 October 2022,Not Available
